"BBN",8727628,"La Borne Blanche",1
"DEU",8727634,"Deuil Montmagny",1
"GRL",8727636,"Groslay",1
"SLL",8727638,"Sarcelles Saint-Brice",1
"ECZ",8727639,"Écouen Ézanville",1
"SLT",8727640,"Saint-Leu d'Esserent",1
"PYO",8727641,"Précy-sur-Oise",1
"DMO",8727643,"Domont",1
"BRN",8727644,"Boran-sur-Oise",1
"BRK",8727645,"Bruyères-sur-Oise",1
"PEB",8727646,"Persan Beaumont",1
"BOF",8727648,"Bouffemont Moisselles",1
"MSO",8727649,"Montsoult Maffliers",1
"PRQ",8727650,"Presles - Courcelles",1
"CPO",8727651,"Champagne sur Oise",1
"IAP",8727652,"L'Isle Adam Parmain",1
"VMD",8727653,"Valmondois",1
"AUW",8727654,"Auvers-sur-Oise",1
"BSW",8727655,"Belloy - Saint-Martin",1
"VMS",8727656,"Viarmes",1
"LUZ",8727657,"Luzarches",1
"ERM",8727658,"Ermont Halte",1
"GNX",8727659,"Gros Noyer Saint-Prix",1
"SLF",8727660,"Saint-Leu la Forêt",1
"VCX",8727662,"Vaucelles",1
"TVY",8727663,"Taverny",1
"BSR",8727664,"Bessancourt",1
"FPN",8727665,"Frépillon",1
"MWO",8727666,"Méry sur Oise",1
"MLV",8727667,"Meriel",1
"NO",8727675,"Nointel - Mours",1
"MGT",8728187,"Magenta",1
"HSL",8728189,"Haussman Saint-Lazare",1
"BFM",8732832,"Bibliothèque François Mitterrand",1
"NUE",8733448,"Neuville Université",1
"LIE",8733798,"Saint-Ouen l'Aumône Liesse",1
"BEL",8736692,"Saint-Germain-en-Laye Bel Air Fourqueux",1
"PRR",8738101,"Pereire Levallois",1
"NPT",8738102,"Neuilly Porte Maillot",1
"AVF",8738103,"Avenue Foch",1
"AHM",8738104,"Avenue Henri Martin",1
"BCO",8738107,"Bois Colombes",1
"CBK",8738108,"Colombes",1
"LSD",8738109,"Le Stade",1
"PTC",8738111,"Pont Cardinet",1
"CLL",8738112,"Clichy Levallois",1
"AEE",8738113,"Asnières sur Seine",1
"OSN",8738114,"Osny",1
"BLA",8738115,"Boissy-l'Aillerie",1
"MKU",8738116,"Montgeroult - Courcelles",1
