Transporteur Nom,PA ID,UIC8,UIC7,PR ID,ZDE ID,ZDE Libelle,ZDE Type,ZDE Mode,__ZDEp_ID,ZDEp Nom,ZDEp Mode,__ZDEr_ID,ZDEr Nom,ZDEr Mode,__ZDLr_ID,ZDLr Nom,__LDA_ID,ZDE_ASSOCIEE
RATP,660,,,,2096,Anvers,N.D.,METRO,50026617,Anvers,METRO,463120,Anvers,metro,42210,Anvers,71419,N.D.
RATP,661,,,,1993,Croix-de-Chavaux (Jacques Duclos),N.D.,METRO,50026567,Croix-de-Chavaux (Jacques Duclos),METRO,21943,Croix-de-Chavaux (Jacques Duclos),metro,42789,Croix de Chavaux,71756,N.D.
RATP,661,,,,2183,Croix-de-Chavaux (Jacques Duclos),N.D.,METRO,50026568,Croix-de-Chavaux (Jacques Duclos),METRO,463176,Croix-de-Chavaux (Jacques Duclos),metro,42789,Croix de Chavaux,71756,N.D.
RATP,662,,,,15604,DANTON,N.D.,TRAM-TRAIN,50143516,DANTON,TRAM,23302,Danton,tram,46115,Danton,73693,N.D.
RATP,662,,,,15625,DANTON,N.D.,TRAM-TRAIN,50143535,DANTON,TRAM,24427,Danton,tram,46115,Danton,73693,N.D.
RATP,663,,,,1635,Danube,N.D.,METRO,50025840,Danube,METRO,24687,Danube,metro,42822,Danube,71930,N.D.
RATP,664,,,,2081,Daumesnil (Félix Eboué),N.D.,METRO,50026838,Daumesnil (Félix Eboué),METRO,463169,Daumesnil (Félix Eboué),metro,45229,Daumesnil,71614,N.D.
RATP,664,,,,2094,Daumesnil (Félix Eboué),N.D.,METRO,50026121,Daumesnil (Félix Eboué),METRO,22181,Daumesnil (Félix Eboué),metro,45229,Daumesnil,71614,N.D.
RATP,664,,,,3343795,Daumesnil (Félix Eboué),N.D.,METRO,50026029,Daumesnil (Félix Eboué),METRO,463168,Daumesnil (Félix Eboué),metro,45229,Daumesnil,71614,N.D.
RATP,664,,,,3343796,Daumesnil (Félix Eboué),N.D.,METRO,50026374,Daumesnil (Félix Eboué),METRO,22184,Daumesnil (Félix Eboué),metro,45229,Daumesnil,71614,N.D.
RATP,665,,,,60596,DELAUNAY-BELLEVILLE,N.D.,TRAM-TRAIN,50145831,DELAUNAY-BELLEVILLE,TRAM,42117,Delaunay-Belleville,tram,59326,Delaunay - Belleville,74368,N.D.
RATP,665,,,,60604,DELAUNAY-BELLEVILLE,N.D.,TRAM-TRAIN,50145839,DELAUNAY-BELLEVILLE,TRAM,42125,Delaunay-Belleville,tram,59326,Delaunay - Belleville,74368,N.D.
RATP,666,,,,60975,DELPHINE SEYRIG,N.D.,TRAM-TRAIN,50145922,DELPHINE SEYRIG,TRAM,460562,Delphine Seyrig,tram,58500,Delphine Seyrig,73800,N.D.
